,Un_Named,Date,Infrastructure_Machineries,Daily_Sales _Percentage,Daily_Sales_Quantity,Market_Share,Political,Marketing,Budget,Customer_Id,Region
34,34,1/6/2019,Compactors,0.030429155,64,35,1,1,5000.56,CUST00035,Kimberlymouth
35,35,1/6/2019,Tele Handlers ,0.030429155,54,35,1,1,5000.56,CUST00036,Paceton
36,36,1/7/2019,Backhoe Loader,0.032918451,3562,35000,1,1,5000.56,CUST00037,Martinezton
37,37,1/7/2019,Excavators(crawler),0.032918451,86,35,1,1,5000.56,CUST00038,Scottborough
38,38,1/7/2019,Loaders (Wheeled),0.032918451,69,35,1,1,5000.56,CUST00039,Jimenezberg
39,39,1/7/2019,Skid Steer Loaders,0.032918451,78,35,1,1,5000.56,CUST00040,Turnerland
40,40,,Compactors,-0.032918451,25,35,1,1,5000.56,CUST00041,West Colton
41,41,1/7/2019,Tele Handlers ,0.032918451,62,35,1,1,5000.56,CUST00042,Deanport
42,42,1/8/2019,Backhoe Loader,0.029616648,85,35,1,1,5000.56,CUST00043,New Christopher
43,43,1/8/2019,Excavators(crawler),0.029616648,64,35,1,1,5000.56,CUST00044,Kiaraton
44,44,Loaders (Wheeled),1/8/2019,0.029616648,77,35,1,1,5000.56,CUST00045,West Kathrynland
45,45,1/8/2019,invalid_data,0.029616648,63,35,1,1,5000.56,CUST00046,Port Amandashire
46,46,1/8/2019,Compactors,0.029616648,63,35,1,1,5000.56,CUST00047,West Denisebury
47,47,1/8/2019,Tele Handlers ,0.029616648,66,35,1,1,5000.56,CUST00048,Danielside
48,48,1/9/2019,Backhoe Loader,0.024112317,59,35,1,1,5000.56,CUST00049,West Ryanport
49,49,1/9/2019,Excavators(crawler),0.024112317,75,35,1,1,5000.56,CUST00050,Dwaynemouth
50,50,3/15/2025,Loaders (Wheeled),0.024112317,67,35,1,1,5000.56,CUST00051,Joannafort
51,51,1/9/2019,Skid Steer Loaders,0.024112317,72,35,1,1,5000.56,CUST00052,Port Anthonyside
52,52,1/9/2019,Compactors,0.024112317,71,35,1,1,5000.56,CUST00053,Alexandertown
53,53,1/9/2019,Tele Handlers ,0.024112317,62,35,1,1,5000.56,CUST00054,Lake Jenniferview
54,54,1/10/2019,Backhoe Loader,0.0310465,3563,35000,1,1,5000.56,CUST00055,West Rachel
55,55,1/10/2019,Excavators(crawler),0.0310465,71,35,1,1,5000.56,CUST00056,Stevenfurt
56,56,1/10/2019,Loaders (Wheeled),0.0310465,64,35,1,1,5000.56,CUST00057,New Bradleyport
57,57,1/10/2019,Skid Steer Loaders,0.0310465,60,35,1,1,5000.56,CUST00058,Pughstad
58,58,1/10/2019,Compactors,0.0310465,58,35,1,1,5000.56,CUST00059,New Alicia
59,59,1/10/2019,Tele Handlers ,0.0310465,55,35,1,1,5000.56,CUST00060,Erikville
60,60,,invalid_data,-0.037721796,34,35,1,1,5000.56,CUST00061,Doughertyfurt
61,61,1/11/2019,Excavators(crawler),0.037721796,81,35,1,1,5000.56,CUST00062,West Carlosshire
62,62,1/11/2019,Loaders (Wheeled),0.037721796,74,35,1,1,5000.56,CUST00063,Danielfort
63,63,1/11/2019,Skid Steer Loaders,0.037721796,73,35,1,1,5000.56,CUST00064,South Alyssaburgh
64,64,1/11/2019,Compactors,0.037721796,76,35,1,1,5000.56,CUST00065,West Elizabeth
65,65,1/11/2019,Tele Handlers ,0.037721796,50,35,1,1,5000.56,CUST00066,North Keithfort
66,66,Backhoe Loader,1/12/2019,0.035710445,77,35,1,1,5000.56,CUST00067,Wadetown
67,67,1/12/2019,Excavators(crawler),0.035710445,70,35,1,1,5000.56,CUST00068,Meganland
68,68,1/12/2019,Loaders (Wheeled),0.035710445,69,35,1,1,5000.56,CUST00069,East Chris
69,69,1/12/2019,Skid Steer Loaders,0.035710445,69,35,1,1,5000.56,CUST00070,Lake Natasha
70,70,,Compactors,0.035710445,74,35,1,1,5000.56,CUST00071,New Jacob
71,71,1/12/2019,Tele Handlers ,0.035710445,71,35,1,1,5000.56,CUST00072,New Johnberg
72,72,1/13/2019,Backhoe Loader,0.028760331,3573,35000,1,1,5000.56,CUST00073,Gainesbury
73,73,1/13/2019,Excavators(crawler),0.028760331,68,35,1,1,5000.56,CUST00074,Annaburgh
74,74,1/13/2019,Loaders (Wheeled),0.028760331,55,35,1,1,5000.56,CUST00075,Lake Jessemouth
75,75,3/15/2025,invalid_data,0.028760331,75,35,1,1,5000.56,CUST00076,Kathleenmouth
76,76,1/13/2019,Compactors,0.028760331,52,35,1,1,5000.56,CUST00077,Richardsonland
77,77,1/13/2019,Tele Handlers ,0.028760331,59,35,1,1,5000.56,CUST00078,South Devinton
78,78,1/14/2019,Backhoe Loader,0.026968037,75,35,1,1,5000.56,CUST00079,Brownfurt
79,79,1/14/2019,Excavators(crawler),0.026968037,75,35,1,1,5000.56,CUST00080,New Jeremiah
80,80,,Loaders (Wheeled),-0.026968037,44,35,1,1,5000.56,CUST00081,Jamestown
81,81,1/14/2019,Skid Steer Loaders,0.026968037,71,35,1,1,5000.56,CUST00082,Port Feliciabury
82,82,1/14/2019,Compactors,0.026968037,55,35,1,1,5000.56,CUST00083,Port Ronaldshire
83,83,1/14/2019,Tele Handlers ,0.026968037,59,35,1,1,5000.56,CUST00084,Kellyfort
84,84,1/15/2019,Backhoe Loader,0.030620333,71,35,1,1,5000.56,CUST00085,Singletonchester
85,85,1/15/2019,Excavators(crawler),0.030620333,86,35,1,1,5000.56,CUST00086,Alexandramouth
86,86,1/15/2019,Loaders (Wheeled),0.030620333,62,35,1,1,5000.56,CUST00087,Trevorton
87,87,1/15/2019,Skid Steer Loaders,0.030620333,55,35,1,1,5000.56,CUST00088,Port Tabitha
88,88,Compactors,1/15/2019,0.030620333,74,35,1,1,5000.56,CUST00089,Thomashaven
89,89,1/15/2019,Tele Handlers ,0.030620333,64,35,1,1,5000.56,CUST00090,Lewisbury
90,90,,invalid_data,0.032464403,3555,35000,1,1,5000.56,CUST00091,Alexanderport
91,91,1/16/2019,Excavators(crawler),0.032464403,46,35,1,1,5000.56,CUST00092,Port Jennaborough
92,92,1/16/2019,Loaders (Wheeled),0.032464403,84,35,1,1,5000.56,CUST00093,East Carl
93,93,1/16/2019,Skid Steer Loaders,0.032464403,69,35,1,1,5000.56,CUST00094,Annaberg
94,94,1/16/2019,Compactors,0.032464403,85,35,1,1,5000.56,CUST00095,Walkershire
95,95,1/16/2019,Tele Handlers ,0.032464403,67,35,1,1,5000.56,CUST00096,East Andreamouth
96,96,1/17/2019,Backhoe Loader,0.0378373,73,35,1,1,5000.56,CUST00097,Port Seanburgh
97,97,1/17/2019,Excavators(crawler),0.0378373,80,35,1,1,5000.56,CUST00098,Port Darrenmouth
98,98,1/17/2019,Loaders (Wheeled),0.0378373,46,35,1,1,5000.56,CUST00099,Jessicabury
99,99,1/17/2019,Skid Steer Loaders,0.0378373,72,35,1,1,5000.56,CUST00100,Port Margaret
100,100,3/15/2025,Compactors,-0.0378373,39,35,1,1,5000.56,CUST00101,South Jamieside
101,101,1/17/2019,Tele Handlers ,0.0378373,71,35,1,1,5000.56,CUST00102,East Dustinville
102,102,1/18/2019,Backhoe Loader,0.03203027,72,35,1,1,5000.56,CUST00103,East Dominique
103,103,1/18/2019,Excavators(crawler),0.03203027,69,35,1,1,5000.56,CUST00104,East Lawrenceside
104,104,1/18/2019,Loaders (Wheeled),0.03203027,78,35,1,1,5000.56,CUST00105,New Linda
105,105,1/18/2019,invalid_data,0.03203027,54,35,1,1,5000.56,CUST00106,Cainberg
106,106,1/18/2019,Compactors,0.03203027,70,35,1,1,5000.56,CUST00107,Lewismouth
107,107,1/18/2019,Tele Handlers ,0.03203027,74,35,1,1,5000.56,CUST00108,North Kristen
108,108,1/19/2019,Backhoe Loader,0.029959176,3553,35000,1,1,5000.56,CUST00109,Port Emilyshire
109,109,1/19/2019,Excavators(crawler),0.029959176,71,35,1,1,5000.56,CUST00110,Port Chad
110,110,Loaders (Wheeled),,0.029959176,77,35,1,1,5000.56,CUST00111,North Sharishire
111,111,1/19/2019,Skid Steer Loaders,0.029959176,71,35,1,1,5000.56,CUST00112,East Douglashaven
112,112,1/19/2019,Compactors,0.029959176,62,35,1,1,5000.56,CUST00113,Brianmouth
113,113,1/19/2019,Tele Handlers ,0.029959176,46,35,1,1,5000.56,CUST00114,Port Brentfurt
114,114,1/20/2019,Backhoe Loader,0.034874042,84,35,1,1,5000.56,CUST00115,West Williamside
115,115,1/20/2019,Excavators(crawler),0.034874042,76,35,1,1,5000.56,CUST00116,Silvashire
116,116,1/20/2019,Loaders (Wheeled),0.034874042,63,35,1,1,5000.56,CUST00117,Robertland
117,117,1/20/2019,Skid Steer Loaders,0.034874042,48,35,1,1,5000.56,CUST00118,New Reginaport
118,118,1/20/2019,Compactors,0.034874042,84,35,1,1,5000.56,CUST00119,Timothyberg
119,119,1/20/2019,Tele Handlers ,0.034874042,75,35,1,1,5000.56,CUST00120,Port Gregory
120,120,,invalid_data,-0.02726277,46,35,1,1,5000.56,CUST00121,South Denisehaven
121,121,1/21/2019,Excavators(crawler),0.02726277,65,35,1,1,5000.56,CUST00122,Mossfurt
122,122,1/21/2019,Loaders (Wheeled),0.02726277,53,35,1,1,5000.56,CUST00123,Amychester
123,123,1/21/2019,Skid Steer Loaders,0.02726277,63,35,1,1,5000.56,CUST00124,New Barbarabury
124,124,1/21/2019,Compactors,0.02726277,64,35,1,1,5000.56,CUST00125,Vegaborough
125,125,3/15/2025,Tele Handlers ,0.02726277,65,35,1,1,5000.56,CUST00126,Kathrynburgh
126,126,1/22/2019,Backhoe Loader,0.029110823,3566,35000,1,1,5000.56,CUST00127,South Dustinshire
127,127,1/22/2019,Excavators(crawler),0.029110823,70,35,1,1,5000.56,CUST00128,Lake Brian
128,128,1/22/2019,Loaders (Wheeled),0.029110823,74,35,1,1,5000.56,CUST00129,West Joseph
129,129,1/22/2019,Skid Steer Loaders,0.029110823,65,35,1,1,5000.56,CUST00130,East Michelleland
130,130,,Compactors,0.029110823,56,35,1,1,5000.56,CUST00131,North Samanthafurt
131,131,1/22/2019,Tele Handlers ,0.029110823,79,35,1,1,5000.56,CUST00132,Riosmouth
132,132,Backhoe Loader,1/23/2019,0.027370308,50,35,1,1,5000.56,CUST00133,Port Alan
133,133,1/23/2019,Excavators(crawler),0.027370308,65,35,1,1,5000.56,CUST00134,Brendaland
134,134,1/23/2019,Loaders (Wheeled),0.027370308,76,35,1,1,5000.56,CUST00135,South Susanbury
135,135,1/23/2019,invalid_data,0.027370308,65,35,1,1,5000.56,CUST00136,West Jonathanshire
136,136,1/23/2019,Compactors,0.027370308,87,35,1,1,5000.56,CUST00137,Sanchezstad
137,137,1/23/2019,Tele Handlers ,0.027370308,63,35,1,1,5000.56,CUST00138,West Michaeltown
138,138,1/24/2019,Backhoe Loader,0.033687145,62,35,1,1,5000.56,CUST00139,Michelleburgh
139,139,1/24/2019,Excavators(crawler),0.033687145,78,35,1,1,5000.56,CUST00140,New Zacharyville
140,140,,Loaders (Wheeled),-0.033687145,41,35,1,1,5000.56,CUST00141,East Daniellestad
141,141,1/24/2019,Skid Steer Loaders,0.033687145,71,35,1,1,5000.56,CUST00142,Katherineport
142,142,1/24/2019,Compactors,0.033687145,57,35,1,1,5000.56,CUST00143,Wadeview
143,143,1/24/2019,Tele Handlers ,0.033687145,69,35,1,1,5000.56,CUST00144,Markfort
144,144,1/25/2019,Backhoe Loader,0.037494772,3589,35000,1,1,5000.56,CUST00145,New Stephenburgh
145,145,1/25/2019,Excavators(crawler),0.037494772,68,35,1,1,5000.56,CUST00146,Sandersland
146,146,1/25/2019,Loaders (Wheeled),0.037494772,71,35,1,1,5000.56,CUST00147,Lake Tonyaport
147,147,1/25/2019,Skid Steer Loaders,0.037494772,78,35,1,1,5000.56,CUST00148,Port Amyside
148,148,1/25/2019,Compactors,0.037494772,69,35,1,1,5000.56,CUST00149,Nicholsfurt
149,149,1/25/2019,Tele Handlers ,0.037494772,66,35,1,1,5000.56,CUST00150,Williamstown
150,150,3/15/2025,invalid_data,0.035355969,67,35,1,1,5000.56,CUST00151,West David
151,151,1/26/2019,Excavators(crawler),0.035355969,73,35,1,1,5000.56,CUST00152,East Daniel
152,152,1/26/2019,Loaders (Wheeled),0.035355969,81,35,1,1,5000.56,CUST00153,New Miguelburgh
153,153,1/26/2019,Skid Steer Loaders,0.035355969,62,35,1,1,5000.56,CUST00154,Calderonland
154,154,Compactors,1/26/2019,0.035355969,70,35,1,1,5000.56,CUST00155,West Jennifer
155,155,1/26/2019,Tele Handlers ,0.035355969,66,35,1,1,5000.56,CUST00156,West Matthew
156,156,1/27/2019,Backhoe Loader,0.036180424,78,35,1,1,5000.56,CUST00157,North Todd
157,157,1/27/2019,Excavators(crawler),0.036180424,67,35,1,1,5000.56,CUST00158,Leeview
158,158,1/27/2019,Loaders (Wheeled),0.036180424,53,35,1,1,5000.56,CUST00159,Gibsonville
159,159,1/27/2019,Skid Steer Loaders,0.036180424,60,35,1,1,5000.56,CUST00160,Lake Brookeshire
160,160,,Compactors,-0.036180424,47,35,1,1,5000.56,CUST00161,Port Catherineville
161,161,1/27/2019,Tele Handlers ,0.036180424,69,35,1,1,5000.56,CUST00162,North Elizabeth
162,162,1/28/2019,Backhoe Loader,0.039784925,3567,35000,1,1,5000.56,CUST00163,New Dawn
163,163,1/28/2019,Excavators(crawler),0.039784925,60,35,1,1,5000.56,CUST00164,Lake Elizabethberg
164,164,1/28/2019,Loaders (Wheeled),0.039784925,77,35,1,1,5000.56,CUST00165,Carlsonville
165,165,1/28/2019,invalid_data,0.039784925,82,35,1,1,5000.56,CUST00166,Villarrealchester
166,166,1/28/2019,Compactors,0.039784925,82,35,1,1,5000.56,CUST00167,Jenkinsland
167,167,1/28/2019,Tele Handlers ,0.039784925,65,35,1,1,5000.56,CUST00168,New Megan
168,168,1/29/2019,Backhoe Loader,0.039605696,78,35,1,1,5000.56,CUST00169,Kathyside
169,169,1/29/2019,Excavators(crawler),0.039605696,68,35,1,1,5000.56,CUST00170,Foxbury
170,170,,Loaders (Wheeled),0.039605696,99,35,1,1,5000.56,CUST00171,Justinside
171,171,1/29/2019,Skid Steer Loaders,0.039605696,68,35,1,1,5000.56,CUST00172,Littlefurt
172,172,1/29/2019,Compactors,0.039605696,81,35,1,1,5000.56,CUST00173,Victoriatown
173,173,1/29/2019,Tele Handlers ,0.039605696,81,35,1,1,5000.56,CUST00174,Lawrencehaven
174,174,1/30/2019,Backhoe Loader,0.031914767,56,35,1,1,5000.56,CUST00175,Matthewshire
175,175,3/15/2025,Excavators(crawler),0.031914767,76,35,1,1,5000.56,CUST00176,North Cassie
176,176,Loaders (Wheeled),1/30/2019,0.031914767,55,35,1,1,5000.56,CUST00177,Williamstad
177,177,1/30/2019,Skid Steer Loaders,0.031914767,87,35,1,1,5000.56,CUST00178,Port Rebecca
178,178,1/30/2019,Compactors,0.031914767,77,35,1,1,5000.56,CUST00179,Jorgeport
179,179,1/30/2019,Tele Handlers ,0.031914767,80,35,1,1,5000.56,CUST00180,West Beth
180,180,,invalid_data,-0.027449965,3545,35000,1,1,5000.56,CUST00181,East Brandonberg
181,181,1/31/2019,Excavators(crawler),0.027449965,58,35,1,1,5000.56,CUST00182,West Alexander
182,182,1/31/2019,Loaders (Wheeled),0.027449965,60,35,1,1,5000.56,CUST00183,Hillfort
183,183,1/31/2019,Skid Steer Loaders,0.027449965,78,35,1,1,5000.56,CUST00184,Samanthahaven
184,184,1/31/2019,Compactors,0.027449965,66,35,1,1,5000.56,CUST00185,East Tom
185,185,1/31/2019,Tele Handlers ,0.027449965,70,35,1,1,5000.56,CUST00186,Sophiamouth
186,186,2/1/2019,Backhoe Loader,0.034463806,75,35,1,1,5000.56,CUST00187,North Antoniofurt
187,187,2/1/2019,Excavators(crawler),0.034463806,56,35,1,1,5000.56,CUST00188,Lake Rebecca
188,188,2/1/2019,Loaders (Wheeled),0.034463806,72,35,1,1,5000.56,CUST00189,Hesston
189,189,2/1/2019,Skid Steer Loaders,0.034463806,68,35,1,1,5000.56,CUST00190,Cookfurt
190,190,,Compactors,0.034463806,74,35,1,1,5000.56,CUST00191,Melendezland
191,191,2/1/2019,Tele Handlers ,0.034463806,81,35,1,1,5000.56,CUST00192,Lake Kevinport
192,192,2/2/2019,Backhoe Loader,0.038629891,78,35,1,1,5000.56,CUST00193,South Caitlin
193,193,2/2/2019,Excavators(crawler),0.038629891,70,35,1,1,5000.56,CUST00194,Lake Jason
194,194,2/2/2019,Loaders (Wheeled),0.038629891,73,35,1,1,5000.56,CUST00195,New Rebecca
195,195,2/2/2019,invalid_data,0.038629891,64,35,1,1,5000.56,CUST00196,Jamesside
196,196,2/2/2019,Compactors,0.038629891,51,35,1,1,5000.56,CUST00197,South Sherry
197,197,2/2/2019,Tele Handlers ,0.038629891,74,35,1,1,5000.56,CUST00198,Harrisport
198,198,Backhoe Loader,2/3/2019,0.025637758,3547,35000,1,1,5000.56,CUST00199,Cruzview
199,199,2/3/2019,Excavators(crawler),0.025637758,56,35,1,1,5000.56,CUST00200,West Suzanne
200,200,3/15/2025,Loaders (Wheeled),-0.025637758,76,35,1,1,5000.56,CUST00201,Port Samanthatown
201,201,2/3/2019,Skid Steer Loaders,0.025637758,72,35,1,1,5000.56,CUST00202,Jodimouth
202,202,2/3/2019,Compactors,0.025637758,85,35,1,1,5000.56,CUST00203,Nelsonburgh
203,203,2/3/2019,Tele Handlers ,0.025637758,49,35,1,1,5000.56,CUST00204,Ramirezshire
204,204,2/4/2019,Backhoe Loader,0.028812108,65,35,1,1,5000.56,CUST00205,West Mary
205,205,2/4/2019,Excavators(crawler),0.028812108,71,35,1,1,5000.56,CUST00206,Lisahaven
206,206,2/4/2019,Loaders (Wheeled),0.028812108,51,35,1,1,5000.56,CUST00207,Port Cherylberg
207,207,2/4/2019,Skid Steer Loaders,0.028812108,69,35,1,1,5000.56,CUST00208,New Davidburgh
208,208,2/4/2019,Compactors,0.028812108,77,35,1,1,5000.56,CUST00209,East Michaelborough
209,209,2/4/2019,Tele Handlers ,0.028812108,94,35,1,1,5000.56,CUST00210,New Heather
210,210,,invalid_data,0.03216967,47,35,1,1,5000.56,CUST00211,Cynthiaberg
211,211,2/5/2019,Excavators(crawler),0.03216967,81,35,1,1,5000.56,CUST00212,Melissashire
212,212,2/5/2019,Loaders (Wheeled),0.03216967,66,35,1,1,5000.56,CUST00213,Coxfurt
213,213,2/5/2019,Skid Steer Loaders,0.03216967,67,35,1,1,5000.56,CUST00214,West Savannah
214,214,2/5/2019,Compactors,0.03216967,72,35,1,1,5000.56,CUST00215,Port Bryan
215,215,2/5/2019,Tele Handlers ,0.03216967,82,35,1,1,5000.56,CUST00216,North Sean
216,216,2/6/2019,Backhoe Loader,0.030429155,3582,35000,1,1,5000.56,CUST00217,New Miranda
217,217,2/6/2019,Excavators(crawler),0.030429155,63,35,1,1,5000.56,CUST00218,South Jakefurt
218,218,2/6/2019,Loaders (Wheeled),0.030429155,59,35,1,1,5000.56,CUST00219,East Carloshaven
219,219,2/6/2019,Skid Steer Loaders,0.030429155,64,35,1,1,5000.56,CUST00220,New Williamchester
220,220,Compactors,,-0.030429155,31,35,1,1,5000.56,CUST00221,Moorefurt
221,221,2/6/2019,Tele Handlers ,0.030429155,59,35,1,1,5000.56,CUST00222,New Joshua
222,222,2/7/2019,Backhoe Loader,0.032918451,73,35,1,1,5000.56,CUST00223,North Laurieport
223,223,2/7/2019,Excavators(crawler),0.032918451,58,35,1,1,5000.56,CUST00224,Williamsberg
224,224,2/7/2019,Loaders (Wheeled),0.032918451,81,35,1,1,5000.56,CUST00225,East Sherri
225,225,3/15/2025,invalid_data,0.032918451,65,35,1,1,5000.56,CUST00226,West Rodneyhaven
226,226,2/7/2019,Compactors,0.032918451,55,35,1,1,5000.56,CUST00227,Lake Katherine
227,227,2/7/2019,Tele Handlers ,0.032918451,65,35,1,1,5000.56,CUST00228,Colinchester
228,228,2/8/2019,Backhoe Loader,0.029616648,85,35,1,1,5000.56,CUST00229,Lake William
229,229,2/8/2019,Excavators(crawler),0.029616648,67,35,1,1,5000.56,CUST00230,New Pamela
230,230,,Loaders (Wheeled),0.029616648,78,35,1,1,5000.56,CUST00231,Anthonyside
231,231,2/8/2019,Skid Steer Loaders,0.029616648,55,35,1,1,5000.56,CUST00232,South Teresa
232,232,2/8/2019,Compactors,0.029616648,73,35,1,1,5000.56,CUST00233,East Nathaniel
233,233,2/8/2019,Tele Handlers ,0.029616648,72,35,1,1,5000.56,CUST00234,East Phillipton
234,234,2/9/2019,Backhoe Loader,0.024112317,3567,35000,1,1,5000.56,CUST00235,Reedborough
235,235,2/9/2019,Excavators(crawler),0.024112317,52,35,1,1,5000.56,CUST00236,Sonyaton
236,236,2/9/2019,Loaders (Wheeled),0.024112317,67,35,1,1,5000.56,CUST00237,Christophermouth
237,237,2/9/2019,Skid Steer Loaders,0.024112317,64,35,1,1,5000.56,CUST00238,Adamchester
238,238,2/9/2019,Compactors,0.024112317,81,35,1,1,5000.56,CUST00239,Stewartborough
239,239,2/9/2019,Tele Handlers ,0.024112317,74,35,1,1,5000.56,CUST00240,Lake Michelleburgh
240,240,,invalid_data,-0.0310465,31,35,1,1,5000.56,CUST00241,East Jenniferfurt
241,241,2/10/2019,Excavators(crawler),0.0310465,76,35,1,1,5000.56,CUST00242,Lake Edwinville
242,242,Loaders (Wheeled),2/10/2019,0.0310465,54,35,1,1,5000.56,CUST00243,Jennafort
243,243,2/10/2019,Skid Steer Loaders,0.0310465,72,35,1,1,5000.56,CUST00244,Comptonbury
244,244,2/10/2019,Compactors,0.0310465,57,35,1,1,5000.56,CUST00245,East Kimberly
245,245,2/10/2019,Tele Handlers ,0.0310465,65,35,1,1,5000.56,CUST00246,Saraland
246,246,2/11/2019,Backhoe Loader,0.037721796,80,35,1,1,5000.56,CUST00247,Normanmouth
247,247,2/11/2019,Excavators(crawler),0.037721796,73,35,1,1,5000.56,CUST00248,Susanberg
248,248,2/11/2019,Loaders (Wheeled),0.037721796,69,35,1,1,5000.56,CUST00249,Cynthiaside
249,249,2/11/2019,Skid Steer Loaders,0.037721796,85,35,1,1,5000.56,CUST00250,East Sonya
250,250,3/15/2025,Compactors,0.037721796,79,35,1,1,5000.56,CUST00251,New Tamara
251,251,2/11/2019,Tele Handlers ,0.037721796,59,35,1,1,5000.56,CUST00252,South Olivia
252,252,2/12/2019,Backhoe Loader,0.035710445,3568,35000,1,1,5000.56,CUST00253,Lake Charlesside
253,253,2/12/2019,Excavators(crawler),0.035710445,74,35,1,1,5000.56,CUST00254,East Tiffany
254,254,2/12/2019,Loaders (Wheeled),0.035710445,75,35,1,1,5000.56,CUST00255,Costahaven
255,255,2/12/2019,invalid_data,0.035710445,77,35,1,1,5000.56,CUST00256,Lake Mackenziestad
256,256,2/12/2019,Compactors,0.035710445,63,35,1,1,5000.56,CUST00257,Kristinebury
257,257,2/12/2019,Tele Handlers ,0.035710445,74,35,1,1,5000.56,CUST00258,Blankenshiptown
258,258,2/13/2019,Backhoe Loader,0.028760331,83,35,1,1,5000.56,CUST00259,New Austin
259,259,2/13/2019,Excavators(crawler),0.028760331,55,35,1,1,5000.56,CUST00260,Ramirezbury
260,260,,Loaders (Wheeled),-0.028760331,41,35,1,1,5000.56,CUST00261,Brianfort
261,261,2/13/2019,Skid Steer Loaders,0.028760331,66,35,1,1,5000.56,CUST00262,Amyfurt
262,262,2/13/2019,Compactors,0.028760331,77,35,1,1,5000.56,CUST00263,South Alexander
263,263,2/13/2019,Tele Handlers ,0.028760331,51,35,1,1,5000.56,CUST00264,Joelberg
264,264,Backhoe Loader,2/14/2019,0.026968037,61,35,1,1,5000.56,CUST00265,North Scottfurt
265,265,2/14/2019,Excavators(crawler),0.026968037,70,35,1,1,5000.56,CUST00266,Port Michaelhaven
266,266,2/14/2019,Loaders (Wheeled),0.026968037,86,35,1,1,5000.56,CUST00267,North Daniel
267,267,2/14/2019,Skid Steer Loaders,0.026968037,68,35,1,1,5000.56,CUST00268,Lake Robertside
